molecule,nbeads,base_seed,used_seed,status,error
bigm_001,7,43,43,ok,
bigm_002,6,44,44,ok,
bigm_003,10,45,45,ok,
bigm_004,9,46,46,ok,
bigm_005,9,47,2047,ok,
bigm_006,8,48,48,ok,
bigm_007,7,49,49,ok,
bigm_008,14,50,50,ok,
bigm_009,7,51,51,ok,
bigm_010,15,52,52,ok,
bigm_011,12,53,53,ok,
bigm_012,6,54,54,ok,
bigm_013,6,55,55,ok,
bigm_014,7,56,1056,ok,
bigm_015,9,57,57,ok,
bigm_016,9,58,58,ok,
bigm_017,14,59,59,ok,
bigm_018,15,60,60,ok,
bigm_019,6,61,61,ok,
bigm_020,14,62,62,ok,
bigm_021,9,63,63,ok,
bigm_022,14,64,64,ok,
bigm_023,12,65,1065,ok,
bigm_024,9,66,66,ok,
bigm_025,13,67,67,ok,
bigm_026,15,68,68,ok,
bigm_027,10,69,69,ok,
bigm_028,6,70,70,ok,
bigm_029,8,71,71,ok,
bigm_030,12,72,72,ok,
bigm_031,11,73,73,ok,
bigm_032,10,74,74,ok,
bigm_033,8,75,75,ok,
bigm_034,9,76,76,ok,
bigm_035,11,77,77,ok,
bigm_036,7,78,1078,ok,
bigm_037,7,79,79,ok,
bigm_038,12,80,80,ok,
bigm_039,7,81,1081,ok,
bigm_040,11,82,82,ok,
bigm_041,11,83,83,ok,
bigm_042,15,84,84,ok,
bigm_043,10,85,85,ok,
bigm_044,6,86,86,ok,
bigm_045,13,87,87,ok,
bigm_046,14,88,88,ok,
bigm_047,7,89,89,ok,
bigm_048,12,90,90,ok,
bigm_049,7,91,1091,ok,
bigm_050,14,92,1092,ok,
bigm_051,10,93,93,ok,
bigm_052,15,94,94,ok,
bigm_053,11,95,95,ok,
bigm_054,15,96,96,ok,
bigm_055,9,97,1097,ok,
bigm_056,7,98,98,ok,
bigm_057,6,99,99,ok,
bigm_058,9,100,100,ok,
bigm_059,10,101,101,ok,
bigm_060,7,102,102,ok,
bigm_061,9,103,103,ok,
bigm_062,7,104,104,ok,
bigm_063,12,105,105,ok,
bigm_064,10,106,106,ok,
bigm_065,13,107,107,ok,
bigm_066,11,108,108,ok,
bigm_067,8,109,109,ok,
bigm_068,11,110,110,ok,
bigm_069,11,111,111,ok,
bigm_070,9,112,112,ok,
bigm_071,10,113,113,ok,
bigm_072,7,114,114,ok,
bigm_073,15,115,115,ok,
bigm_074,8,116,116,ok,
bigm_075,14,117,117,ok,
bigm_076,9,118,118,ok,
bigm_077,8,119,119,ok,
bigm_078,13,120,120,ok,
bigm_079,12,121,121,ok,
bigm_080,10,122,122,ok,
bigm_081,14,123,123,ok,
bigm_082,9,124,124,ok,
bigm_083,11,125,125,ok,
bigm_084,6,126,126,ok,
bigm_085,9,127,127,ok,
bigm_086,6,128,128,ok,
bigm_087,11,129,129,ok,
bigm_088,12,130,130,ok,
bigm_089,10,131,131,ok,
bigm_090,7,132,132,ok,
bigm_091,9,133,133,ok,
bigm_092,15,134,134,ok,
bigm_093,11,135,135,ok,
bigm_094,9,136,136,ok,
bigm_095,13,137,137,ok,
bigm_096,12,138,138,ok,
bigm_097,13,139,139,ok,
bigm_098,8,140,140,ok,
bigm_099,10,141,141,ok,
bigm_100,8,142,142,ok,
